example_id,repo_id,base_sha,issue_text,relevant_paths,top10_pred,first_relevant_rank,category,notes,proposed_fix
librephotos/librephotos/238/237,librephotos/librephotos,f6f945a48a6f30314df7d60fe10b813bc55bb227,"exception in backend NetworkXError  ## 🐛 Bug Report
 
 * [ ] I am including my log files in zip format.
 * [x] I have looked for similar issues among all the former issues including closed ones.
 
 ### What Operating system and version is LibrePhotos running on:
 Debian Unstable
 
 ### What architecture is LibrePhotos running on:
 x64
 
 
 ### How is LibrePhotos installed:
 Docker
 
 
 ### If running via Docker or Kubernetes please list version including docker-compose:
 3.8
 
 ### Are you running LibrePhotos on a virtual machine if so please list:
 No
 
 ### How is you picture library mounted on the host (or in the virtual machine):
 Local file system BTRFS
 
 
 ### Description of issue:
 
 Exception seen when doing some random operation on the UI
 
 ```
 proxy_1     | 10.42.0.24 - - [22/Apr/2021:13:32:13 +0000] ""GET /api/rqavailable/ HTTP/1.1"" 200 427 ""http://lenovo:3000/recent"" ""Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.72 Safari/537.36""",api/social_graph.py,nextcloud/directory_watcher.py;requirements.txt;api/directory_watcher.py;README.md;nextcloud/views.py;api/nextcloud.py;api/tests.py;api/models/photo.py;ownphotos/settings.py;api/image_similarity.py,65,,,
matrix-org/synapse/2192/2191,matrix-org/synapse,66f371e8b80e146f4a4106ddfcea3471b709ab66,"Sending AS transactions can wedge if network connectivity drops  The freenode bridge had a 9h outage caused by our cloud provider dropping temporarily. Synapse survived the drop, but in-flight requests got wedged and never timed out. We should have application level timeouts for outbound HTTP requests.",synapse/http/client.py,docs/admin_api/purge_history_api.rst;docs/ancient_architecture_notes.rst;docs/replication.rst;docs/admin_api/purge_remote_media.rst;contrib/jitsimeetbridge/unjingle/strophe.jingle.sdp.js;docs/log_contexts.rst;docs/admin_api/README.rst;docs/sphinx/README.rst;contrib/vertobot/verto-example.json;demo/webserver.py,,,,
librephotos/librephotos/120/114,librephotos/librephotos,2e3c4669650b8e3fe8fce59bfbaac871d834671f,"Unable to view photos  When clicking on a photo to view, the lightbox should open showing the larger version of the photo. The front end makes a call to _/api/photos/aadd85dc9c9c91dd65d319a806b94a7b1/_ and returns a 500 error and the lightbox sits waiting to load the image.
 
 The following error is displayed in the backend log:
 
 > Running backend server...
 [2021-01-08 14:41:26 +0000] [309] [INFO] Starting gunicorn 20.0.4
 [2021-01-08 14:41:26 +0000] [309] [INFO] Listening at: http://0.0.0.0:8001 (309)
 [2021-01-08 14:41:26 +0000] [309] [INFO] Using worker: gevent
 [2021-01-08 14:41:26 +0000] [313] [INFO] Booting worker with pid: 313
 [2021-01-08 14:41:26 +0000] [314] [INFO] Booting worker with pid: 314
 14:41:37 Worker rq:worker:86d2de7e24b24bf0a4a132ffca5af635: started, version 1.6.1
 14:41:37 Subscribing to channel rq:pubsub:86d2de7e24b24bf0a4a132ffca5af635
 14:41:37 *** Listening on default...
 14:41:37 Cleaning registries for queue: default
 Not Found: /api/jobs/
 Not Found: /a",api/models.py,scripts/client_bench.py;scripts/build_cache.py;scripts/build_cache.sh;api/autoalbum.py;README.md;densecap/webcam/server.py;api/image_similarity.py;api/background_tasks.py;playground/image_captions.py;densecap/webcam/README.md,56,,,
timbrel/gitsavvy/1365/1363,timbrel/gitsavvy,f3e2b7517b311920436be76587f8468687e66d47,"Failure to refresh upon switching project  Quite a few times now I've found myself staring at an out-of-date STATUS or BRANCHES tab, being thoroughly confused about what's going on, e.g. why certain files don't exist, or why the STATUS screen shows nothing modified even though I know for sure there are some modified files. The confusion usually lasts a couple of seconds before I realize I need to close the tab and re-open it to refresh it.
 
 ## How to reproduce
 
 Make sure you have two projects, let's call them A and B. Project A has one directory tracked by git. 
 
 - Open Project A (Ctrl + Alt + P)
 - Make sure it's on master and has no modified files
 - Open a STATUS and a BRANCHES view in their own tabs
 - Switch to project B using Ctrl + Alt + P
 - Switch to a different branch in project A through your terminal
 - Edit some file from project A through some other means (`nano`, `vim`, `echo/cat`, whatever floats your boat)
 - Switch back to project A using Ctrl + Alt + P
 - Obser",common/ui.py,core/commands/changelog.py;core/commands/quick_stage.py;core/commands/log.py;core/commands/quick_commit.py;docs/README.md;core/commands/show_commit_info.py;core/commands/stage_diff.py;core/commands/merge.py;core/commands/blame.py;core/commands/push.py,78,,,
timbrel/gitsavvy/902/901,timbrel/gitsavvy,797f79ba9aa64c94efe2722eae49344b6655a66c,"live_panel_output sometimes is out of sync  the log panel is still buggy
 
 When I do `review pull request`, the output is out of sync
 
 ```
 > /usr/local/bin/git fetch https://github.com/ydsdsa/AlignTab.git patch-1
 
 [Done in 0.36s]From https://github.com/ydsdsa/AlignTab
  * branch            patch-1    -> FETCH_HEAD
 
 ```
 
 Relevant settings
 ```
     ""show_panel_for"": [
         ""commit"",
         ""apply"",
         ""fetch"",
         ""pull"",
         ""push""
     ],
     ""live_panel_output"": true
 ```
 
 I have concluded that it is due to a synchronization issue between the io threads and the process thread. https://github.com/divmain/GitSavvy/blob/797f79ba9aa64c94efe2722eae49344b6655a66c/core/git_command.py#L106-L107
 
 I don't have more time to further investigate now.",common/util/log.py;core/git_command.py,core/interfaces/tags.py;core/interfaces/__init__.py;core/interfaces/branch.py;core/commands/checkout.py;docs/README.md;core/commands/changelog.py;core/commands/log.py;docs/branch_mgmt.md;core/commands/commit.py;core/commands/diff.py,82,,,
aiogram/aiogram/240/239,aiogram/aiogram,56662d6bd8052ee835fcfebd928c8a2786fe922c,"check_token bug report  ## Context
 
 ```python
 from aiogram.bot.api import check_token
 
 check_token('1234:') # True
 check_token('12:ABC-DEF1234ghIkl-zyx57W2v1u123ew11') # ValidationError
 ```
 * aiogram version: 2.4
 
 ## Expected Behavior
 
 In the first case I expect an exception, in the second I expect True",aiogram/bot/api.py,aiogram/types/encrypted_credentials.py;aiogram/types/encrypted_passport_element.py;aiogram/types/passport_data.py;aiogram/utils/auth_widget.py;aiogram/types/auth_widget_data.py;aiogram/types/passport_file.py;aiogram/types/poll.py;aiogram/utils/exceptions.py;aiogram/types/passport_element_error.py;aiogram/types/user.py,24,,,
getsentry/sentry-python/2264/2262,getsentry/sentry-python,b2c9af9d80859ba6a9e917daa02eb5f20d189591,"`traces_sampler` receives always ""generic ASGI request"" as transaction name.  ### How do you use Sentry?  Sentry Saas (sentry.io)  ### Version  1.11.1  ### Steps to Reproduce  I have manually instrumented traces_sampler counted on transaction name in sampling context. At some point with sentry-sdk version upgrade, it stopped work - there is always ""generic ASGI request"" in transaction name. But at the performance page, transaction has a proper name.
 
 How we initiate sentry FastAPI integration:
 ```
 sentry_sdk.init(
     dsn=SENTRY_DSN,
     environment=""dev"",
     traces_sampler=sentry_traces_sampler,
     integrations=[
         starlette.StarletteIntegration(transaction_style=""endpoint""),
         fastapi.FastApiIntegration(transaction_style=""endpoint""),`
     ]
 )
 ```
 
 The traces_sampler function:
 ```
 def sentry_traces_sampler(sampling_context):
     transaction_sampling_mapper = {
         ""app.api.api_v1.routers.users.some_name"": 0.1,
         ""app.api.api_v1.routers.messa",sentry_sdk/integrations/fastapi.py;sentry_sdk/integrations/starlette.py,sentry_sdk/hub.py;sentry_sdk/integrations/arq.py;scripts/init_serverless_sdk.py;sentry_sdk/integrations/aws_lambda.py;sentry_sdk/integrations/aiohttp.py;sentry_sdk/integrations/asgi.py;sentry_sdk/api.py;sentry_sdk/__init__.py;sentry_sdk/client.py;sentry_sdk/integrations/__init__.py,,,,
timbrel/gitsavvy/1453/1452,timbrel/gitsavvy,fd8c7bfff1f563caadeb20e0e7247ac03ef17878,"Files incorrectly flagged as merge conflicts during inline diff  For some files, when I try to start an inline diff it is flagged as containing a merge conflict and the diff does not open.
 
 I tracked down the source of this and it was introduced in https://github.com/timbrel/GitSavvy/commit/8df9b46a4d34014949286aaecad3a6398fa1ee7b, specifically in `safely_parse_metadata`
 
 The issue seems to be that the regex is picking up extra results based on the content of the diff, in addition to the metadata. As an example, for the input:
 
 ```
 @@ -7,0 +8 @@ RCall = ""6f49c342-dc21-5d91-9882-a32aef131414""
 ```
 
 the output is `[(7, 0), (8, 1), (5, 1), (9882, 1)]`
 
 Another example is 
 
 ```
 @@ -295 +313 @@ docs-main:iai-2.0.0:
 ```
 
 giving `[(295, 1), (313, 1), (2, 1)]`
 
 It seems like the previous version was limiting the search to inside the `@@ ... @@` whereas now it is not, and it is flagging the diff a merge conflict because there are more than two elements in the returned metadat",core/parse_diff.py,common/util/parse_diff.py;common/util/diff_string.py;core/commands/stage_hunk.py;CONTRIBUTING.md;core/git_mixins/history.py;docs/README.md;core/commands/blame.py;core/commands/intra_line_colorizer.py;core/commands/cherry_pick.py;core/commands/diff.py,12,,,
deepset-ai/haystack/2593/2599,deepset-ai/haystack,1ab2b977c09cc08681b33d1914870d77aaa20bb7,"Impossible to combine JoinDocuments and JoinAnswers  Creating a pipeline using JoinDocuments and JoinAnswer, leads to the following error:
 ```
 File ""/home/ubuntu/haystack/haystack/nodes/other/join_answers.py"", line 45, in <listcomp>
     reader_results = [inp[""answers""] for inp in inputs]
 KeyError: 'answers'
 ```
 
 The reason for this is that [these lines](https://github.com/deepset-ai/haystack/blob/b6986ea25d7bbd06158dcb9b2f2b9187266accff/haystack/nodes/base.py#L237-L239) cause the `inputs` parameter of the first join node to be propagated down the pipeline. This eventually leads to [this condition](https://github.com/deepset-ai/haystack/blob/b6986ea25d7bbd06158dcb9b2f2b9187266accff/haystack/pipelines/base.py#L530) being false when constructing the input for the next join node resulting in that error.",haystack/nodes/base.py;haystack/pipelines/base.py,docs/README.md;docs/_src/tutorials/tutorials/3.md;docs/_src/api/api/pipelines.md;docs/_src/tutorials/tutorials/13.md;docs/_src/tutorials/tutorials/12.md;docs/_src/tutorials/tutorials/11.md;docs/_src/tutorials/tutorials/1.md;README.md;docs/_src/tutorials/tutorials/15.md;docs/_src/api/api/question_generator.md,,,,
timbrel/gitsavvy/574/562,timbrel/gitsavvy,635a02a390805fcb95007294dd9c14959e43aa3e,GitSavvy's tab moving  When GitSavvy's tab is first tab and when we change content of tab to GRAPH using TAB key or Shift+TAB key it became second tab.,core/interfaces/__init__.py,core/interfaces/rebase.py;core/commands/rebase_interactive.py;core/commands/navigate.py;common/commands/view_manipulation.py;common/commands/log.py;core/commands/tag.py;common/util/view.py;common/ui.py;core/ui_mixins/quick_panel.py;docs/staging.md,13,,,
tensorflow/federated/1128/897,tensorflow/federated,d9935e8c49095c32d7b28c7b17228d2edf370cda,"`tff.learning.from_keras_model` does not accept subclassed Keras model  **Describe the bug**
 `tff.learning.from_keras_model()` does not accept subclassed keras model. See this [colab](https://colab.research.google.com/drive/1dPJlo3e6vVHXS9O4Pm3_Qq2c_h0VtRaP?usp=sharing).
 
 **Environment (please complete the following information):**
 * OS Platform and Distribution (e.g., Linux Ubuntu 16.04): Colab
 * Python package versions (e.g., TensorFlow Federated, TensorFlow): Colab TF-nightly TFF-nightly
 * Python version: python 3.6
 * Bazel version (if building from source): N/A
 * CUDA/cuDNN version: N/A
 * What TensorFlow Federated execution stack are you using? N/A
 
 **Expected behavior**
 `tff.learning.from_keras_model()` properly accepts subclassed keras model, or provide info on the doc if this is not possible?
 
 **Additional context**
 The issue seems to be due to `from_keras_model()` consuming `tf.keras.model.output` (see [pointer](https://github.com/tensorflow/federated/blob/v0.16.",tensorflow_federated/python/learning/keras_utils.py,docs/get_started.md;tensorflow_federated/python/core/api/computation_types_test.py;tensorflow_federated/python/core/api/intrinsics_test.py;tensorflow_federated/python/aggregators/robust_factory_test.py;tensorflow_federated/python/aggregators/mean_factory_test.py;tensorflow_federated/python/aggregators/encoded_factory_test.py;docs/design/execution.md;tensorflow_federated/python/aggregators/dp_factory_test.py;tensorflow_federated/python/aggregators/test_utils_test.py;tensorflow_federated/python/aggregators/quantile_estimation.py,,,,
zauberzeug/nicegui/1301/1279,zauberzeug/nicegui,323b43fd96a840e4cef1236db6f7c3a3f52c3e73,"on air not working with ui.charts  ### Description  Hello,
 
 When trying to launch an application on air (nicegui version 1.3.6, Python 3.10.1) which contains a `ui.chart` object, the page does not load because the Highcharts javascript files are not available. The expectation is that on-air instances work with Highchart plots as they do with local instances.
 
 Below is a minimal example which fails:
 ```Python
 from nicegui import ui
 
 chart = ui.chart({
     'title': False,
     'chart': {'type': 'bar'},
     'xAxis': {'categories': ['A', 'B']},
     'series': [
         {'name': 'Alpha', 'data': [0.1, 0.2]},
         {'name': 'Beta', 'data': [0.3, 0.4]},
     ],
 }).classes('w-full h-64')
 
 def update():
     chart.options['series'][0]['data'] = chart.options['series'][0]['data'][::-1]
     chart.update()
 
 ui.button('Update', on_click=update)
 
 ui.run(on_air=True)
 ```
 
 The error message of the on-air website in the browser are as follows:
 ```
 Failed to load resource: the",nicegui/air.py,README.md;examples/custom_vue_component/counter.py;nicegui/element.py;nicegui/elements/aggrid.js;examples/map/leaflet.py;examples/svg_clock/main.py;examples/modularization/example_pages.py;examples/map/main.py;examples/modularization/theme.py;examples/single_page_app/router_frame.js,63,,,
timbrel/gitsavvy/1073/1072,timbrel/gitsavvy,a6d8ffecbb58083797fac5429a34731272d76f03,"Bug: branch interface doesn't open graph for selected branch  When in branch interface, hit `[g]` to open graph under for the branch under the cursor. Instead, the graph view opens with the checked out branch, not the branch under cursor.
 
 - Sublime Text 3 3184
 - Git 2.19.1
 - OS type and version 10.14.1 (18B75)
 - Console error output -nothing
 
 Git bisect points at 6a6c612 as the culprit, and we can see the `LogGraphMixin` command no longer uses `get_graph_args`, and users of the mixin need to use `prepare_target_view` to set additional graph arguments as view settings.",core/interfaces/branch.py,core/commands/log_graph.py;common/commands/view_manipulation.py;common/commands/log.py;core/commands/rebase_interactive.py;core/commands/inline_diff.py;common/global_events.py;common/util/view.py;core/commands/navigate.py;core/ui_mixins/input_panel.py;core/interfaces/rebase.py,16,,,
pimutils/khal/1273/1190,pimutils/khal,e92d747a1f1dd65d867937067b15cfdfdfb84776,"ikhal: Deleting multiple instances of the same recurring event raises khal.khalendar.exceptions.EtagMissmatch  I was experiencing the same issue as explained in #793. I saw this should have been fixed by  https://github.com/pimutils/khal/pull/1158/commits
 
 So I updated my khal instance from github:
 
 ```
 pip install --user git+https://github.com/pimutils/khal
 ...
 Successfully installed khal-0.10.6.dev104+gb824798
 ```
 
 In my calendar there is a recurring event from which I want to delete [EDIT:  ~two consecutive~ multiple] instances. If I do this in ikhal and close I ikhal, only the first instance is deleted and an exception is raised:
 
 ```python
 Traceback (most recent call last):
   File ""/home/lars/.local/lib/python3.10/site-packages/khal/ui/__init__.py"", line 1364, in start_pane
     loop.run()
   File ""/home/lars/.local/lib/python3.10/site-packages/urwid/main_loop.py"", line 287, in run
     self._run()
   File ""/home/lars/.local/lib/python3.10/site-packages/urwid/main_lo",khal/ui/__init__.py,doc/source/news/khal081.rst;doc/source/news/khal04.rst;doc/source/news/khal07.rst;doc/source/news/khal097.rst;doc/source/news/khal031.rst;doc/source/news/khal093.rst;doc/source/news/khal082.rst;doc/source/news/khal08.rst;doc/source/news/khal06.rst;doc/source/news/khal083.rst,73,,,
zauberzeug/nicegui/1313/1283,zauberzeug/nicegui,d4346f5123a8efc44a669d15d878e2f224dfef53,"ui.refreshable updating the wrong element  ### Description
 
 This observation originates from a StackOverflow question: https://stackoverflow.com/questions/76763206/is-it-possible-to-use-widgets-in-nicegui-python
 
 The following code creates two refreshable buttons, each of which refreshes itself and notifies the user about it. But independent of which button is clicked, it always refreshes button B.
 
 ```py
 class Test:
 
     def __init__(self, name):
         self.name = name
         self.ui()
 
     @ui.refreshable
     def ui(self):
         ui.notify(f'Refreshing {self.name}')
         ui.button(self.name, on_click=self.ui.refresh)
 
 Test('A')
 Test('B')
 ```
 
 The problem can be avoided by replacing
 ```py
 on_click=self.ui.refresh
 ```
 with
 ```py
 on_click=lambda: self.ui.refresh()
 ```
 
 But what is the reason for this mixup, and how to fix it?",nicegui/functions/refreshable.py,examples/modularization/theme.py;examples/custom_vue_component/main.py;examples/custom_vue_component/counter.py;examples/map/leaflet.py;examples/modularization/example_pages.py;examples/nginx_subpath/app/main.py;examples/menu_and_tabs/main.py;examples/trello_cards/draganddrop.py;examples/modularization/menu.py;nicegui/element.py,,,,
timbrel/gitsavvy/1436/1418,timbrel/gitsavvy,e2fbaa01ec35e728f3604c95379cb8b7d7a90a6a,"10 seconds of lag per commit when performing fixup operations  I'm experiencing a crippling slowdown when using the performing actions 'fixup from stage' (through command palette) or `[Q] squash commit with ... ` (on the rebase panel)
 
 Sublime text freezes completely for a good ~40-60 seconds on average. It is evident from the logs that I have to wait 10 seconds for every commit shown/manipulated by the rebase panel.
 
 Using git normally from the terminal does not produce any of these slowdowns. This issue has knocked me into the terminal as I used to rely on GitSavvy for these actions.
 
 Using `[u] move commit up (before previous)` and `[d] move commit down (after next)` does not cause this lag.
 Actually rebasing my branch using the rebase panel does not cause any lag.
 Showing commits (`[w] show commit`) or editing commit messages(`[e] edit commit message`) with the rebase panel are also unaffected.
 
 #### Environment
 **GitSavvy version:** v.2.27.4 (Package Control v3.4.1)
 
 ",core/interfaces/rebase.py,core/commands/changelog.py;core/commands/quick_stage.py;core/commands/quick_commit.py;core/commands/revert.py;core/commands/show_commit.py;core/commands/stage_diff.py;core/commands/log.py;core/commands/merge.py;core/commands/fixup.py;core/commands/branch.py,41,,,
timbrel/gitsavvy/553/551,timbrel/gitsavvy,90c1f7ae5640d2c4a9d3a4d254d75f02ad0d2929,"GitSavvy makes Sublime unusable when git is not installed  I installed sublime on a new machine. I copied AppData/Roaming/Sublime Text 3. When I try to do anything, GitSavvy absolutely blasts me with messages that git can't be found. It has made sublime utterly unusable. I can't even disable the package, because trying to open the command window triggers another message.
 
 FOR THE LOVE OF GOD, ADD AN OPTION FOR ""SHUT THE F*** UP! I KNOW I DON'T HAVE GIT INSTALLED YET!""",core/git_command.py,docs/debug.md;docs/custom.md;docs/flow.md;common/commands/debug.py;core/commands/tag.py;core/commands/diff.py;core/commands/ignore.py;core/commands/show_commit_info.py;core/commands/pull.py;core/git_mixins/merge.py,62,,,
timbrel/gitsavvy/617/587,timbrel/gitsavvy,9131af8fc1c7b108a1c6fbc1f69b3460a5a246e1,"Dashboards don't work well with emoji in branch names  For example, `this-branch-is-da-💥` works fine from the command line, but the Status dashboard shows `None.` as the branch name, the branch dashboard doesn't show the branch at all, and the rebase dashboard doesn't function correctly.  This is likely due to an omission in a regular expression we're using for branch name detection somewhere.",core/git_mixins/branches.py;core/git_mixins/active_branch.py;core/commands/checkout.py,docs/rebase.md;core/commands/tag.py;core/commands/rebase_interactive.py;docs/status.md;common/commands/help.py;docs/staging.md;core/interfaces/__init__.py;core/commands/reflog.py;common/commands/log.py;CONTRIBUTE.md,42,,,
timbrel/gitsavvy/1617/1606,timbrel/gitsavvy,d23cf0c191d271f6863f5e921524065181ce8b55,"In the tags dashboard the commit reading is naive  For the text commands we read the whole line and then just `line[4:11]` to get the commit hash.  This **is** naive as the hash length is not a fixed value.  🙄 
 
 Some commands might benefit from reading out the tag name instead as well.",core/interfaces/tags.py;common/ui.py;core/interfaces/status.py,core/commands/cherry_pick.py;core/commands/blame.py;core/commands/log.py;core/git_mixins/history.py;common/util/parse_diff.py;core/commands/changelog.py;common/util/diff_string.py;core/commands/show_commit_info.py;CONTRIBUTING.md;docs/README.md,16,,,
idsia/sacred/382/327,idsia/sacred,94785b9592b16e8498212ad9cfa0e05d49a1819d,"With repeated experiments, the TinyDB observer only logs the last one  I was trying to automatically run an experiment several times and log the results using the tinydb observer. The code of the experiment follows here (test.py):
 ```python
 import numpy as np
 from sacred import Experiment
 from sacred.observers import TinyDbObserver
 
 ex = Experiment('normal_experiment')
 ex.observers.append(TinyDbObserver.create('sacred_results'))
 
 @ex.config
 def cfg():
   mu = 0.0
   std = 1.0
 
 @ex.automain
 def run(mu, std):
     return np.random.normal(loc=mu, scale=std)
 ```
 
 I run it 3 times with slightly different parameters like so:
 ```python
 from test import ex
 
 ex.run()
 ex.run(config_updates={'mu': 0.5})
 ex.run(config_updates={'mu': 15})
 ```
 
 When I inspect the database afterwards, there is only 1 entry corresponding to the last run.
 
 I have also found that when I recreate the observer every time like so:
 ```python
 from test import ex
 from sacred.observers import Tiny",sacred/observers/tinydb_hashfs.py,docs/observers.rst;examples/ingredient.py;sacred/__init__.py;docs/experiment.rst;examples/04_captured_functions.py;docs/index.rst;docs/ingredients.rst;sacred/observers/telegram_obs.py;docs/tensorflow.rst;HISTORY.rst,22,,,
timbrel/gitsavvy/53/52,timbrel/gitsavvy,ea96122826216ce73243b4cdeb5e0b861da72158,"Branch names with '/' don't display correctly  For instance, displaying the status of a branch named `bug/1234` will output a branch name of `bug`.",core/git_mixins/active_branch.py,docs/history.md;core/git_mixins/branches.py;docs/branch_mgmt.md;docs/staging.md;core/commands/show_commit.py;common/util/parse_diff.py;core/commands/checkout.py;docs/commit.md;core/commands/blame.py;core/git_mixins/remotes.py,13,,,
aiogram/aiogram/157/138,aiogram/aiogram,c7038dcc4e77de93c2551bf99153e5e0ccd2b342,"JSONStorage and PickleStorage aren't persistent  ## Context
 
 * Operating System: Linux Linux Mint 19.1 Tessa
 * Python Version: 3.7.1
 * aiogram version: 2.2
 * aiohttp version: 3.5.4
 
 ## Expected Behavior
 The user's states will be saved with calling 
 ```python3
 await dispatcher.storage.close()
 await dispatcher.storage.wait_closed()
 ``` 
 on shutdown and after the restart will stay the same as before.
 
 ## Current Behavior
 
 The states are not saved on the disk, the empty object is saved instead. 
 
 ## Failure Information
 
 During the shutdown, the storage makes 2 writing operations on the disk: first one with the correct data and the second with an empty object. The invocation of dispatcher.storage.close() performs these 2 operations. 
 There is no bug in restoring data: if saving was successful, everything works correctly. 
 
 ### Steps to Reproduce
 
 1. Run [this](https://gist.github.com/Birdi7/ffb3077b89d81f897df0d51072a8dbbd) gist. The JSONStorage is used there, but ",aiogram/contrib/fsm_storage/files.py,aiogram/dispatcher/storage.py;aiogram/contrib/fsm_storage/redis.py;aiogram/contrib/middlewares/fsm.py;aiogram/dispatcher/dispatcher.py;aiogram/contrib/fsm_storage/memory.py;aiogram/dispatcher/__init__.py;aiogram/types/base.py;aiogram/contrib/fsm_storage/rethinkdb.py;aiogram/dispatcher/filters/builtin.py;aiogram/types/passport_file.py,81,,,
timbrel/gitsavvy/1193/1176,timbrel/gitsavvy,dbdd93a51b1db6ff7aa4e7deed2fdfb3e7e29743,"Open file from diff in word-diff mode throws  This is a regression of the accurate jumping. Honestly I hardly knew about the word diff mode, and it's not part of my workflow but the accurate jumping expects a unified diff otherwise it will raise bc it depends on the line mode char +- on each line.
 
 There is no trivial fix I guess bc for accurate jumping we need to differentiate between available and removed chars.
 
 Probably three options.
 
 1. As a hotfix just disable the open functionality.
 2. Do inaccurate jumping as before.
 3. Just parse it 🤪 as well.",core/commands/diff.py,common/util/diff_string.py;core/commands/inline_diff.py;core/commands/blame.py;core/commands/rebase_interactive.py;common/util/parse_diff.py;core/commands/tag.py;CONTRIBUTING.md;core/ui_mixins/input_panel.py;common/commands/view_manipulation.py;common/commands/log.py,13,,,
timbrel/gitsavvy/923/921,timbrel/gitsavvy,14dd79981dd7cd98fd65e99245430e60f68e1626,"use_syntax_for_commit_editmsg setting to use native syntax doesn't work in some cases  `use_syntax_for_commit_editmsg` setting, to use sublime's built-in syntax for commit messages, doesn't work in case when commit file is opened from external editor (from command line for example using  `git commit`).
 
 I see in the code that there is GitCommit command that switches to native syntax but that command is obviously not trigged in that case (because commit is triggered externally). There is also a load listener which still applies gitsavvy commit syntax, without considering `use_syntax_for_commit_editmsg` setting. That seems to be the bug.
 
 I expect that when `use_syntax_for_commit_editmsg` is enabled, native syntax will be used for git commit files, regardless of how commit file is opened.
 
 Sublime 3 b3161
 git version 2.15.1 (Apple Git-101)
 macOs 10.13",common/global_events.py,core/commands/commit_compare.py;docs/misc.md;core/commands/show_commit.py;docs/flow.md;core/git_command.py;core/commands/revert.py;docs/commit.md;core/commands/init.py;core/commands/commit.py;core/commands/reset.py,82,,,
timbrel/gitsavvy/994/993,timbrel/gitsavvy,1e3f37dd0554a35317d1740c2481fb9370afdc8d,"Git push after deleting remote branch does nothing.  1. Checkout a remote branch as local.
 2. Delete the remote branch (ie, `git push --delete origin blah`)
 3. Status page correctly shows ""Remote branch is gone""
 4. Now do ""git: push"". Nothing happens at all.
 
 What I think should happen:
